,author,count
412,mattei a.,2
413,feregrino-uribe c.,2
414,singh r.,2
415,say a.c.c.,2
416,santos a.c.,2
417,mele l.,2
418,p. m. sarro,2
419,zeida a.,2
420,lamagna l.,2
421,montier l.,2
422,shur a.m.,2
423,mundo l.m.,2
424,murphy j.a.,2
425,eriksson l.a.,2
426,murphy j.d.,2
427,mataloni p.,2
428,gómez berisso m.,2
429,macías-díaz j.e.,2
430,dutra i.,2
431,loucatos s.,2
432,kristukat c.,2
433,gayer d.,2
434,carvalho-silva v.h.,2
435,rahimi e.,2
436,rabelo r.,2
437,gervasi m.,2
438,moreno g.,2
439,nery r.,2
440,giard m.,2
441,bakke k.,2
442,barreto p.s.l.m.,2
443,solis-gamboa s.,2
444,ballester-bolinches a.,2
445,grillo s.a.,2
446,anconi c.p.a.,2
447,cañadas a.m.,2
448,sarandy m.s.,2
449,maciel t.o.,2
450,plata-cesar n.,2
451,harari d.,2
452,chaurra-gutierrez f.a.,2
453,incardona f.,2
454,jules e.,2
455,holik f.h.,2
456,kaplan j.,2
457,misoczki r.,2
458,i. soto,2
459,oliveira l.b.,2
460,tucker c.,2
461,m. mastrangeli,2
462,schillaci a.,2
463,s. venkatraman,2
464,vieira m.d.,2
465,scully s.,2
466,spinelli s.,2
467,alegre t.p.m.,2
468,stolpovskiy m.,2
469,timbie p.,2
470,marinelli d.,2
471,tucker g.,2
472,paiella a.,2
473,walter m.,2
474,vittorio n.,2
475,wicek f.,2
476,coutinho n.d.,2
477,zullo a.,2
478,vaz e.c.,2
479,n,2
480,r. v. ramos,2
481,gainutdinova a.,2
482,lopez-montiel m.,2
483,romero g.e.,2
484,ringegni p.,2
485,d. oliveira,2
486,rambaud d.,2
487,pajot f.,2
488,rodriguez-gomez g.,2
489,passerini a.,2
490,pastoriza h.,2
491,pelosi a.,2
492,perbost c.,2
493,marquezino f.l.,2
494,urquiza-carvalho g.a.,2
495,k. alfaro-bittner,2
496,singh a.,2
497,pezzotta f.,2
498,r. braive,2
499,lopez-acevedo o.,2
500,piacentini f.,2
501,piccirillo l.,2
502,pisano g.,2
503,poderini d.,2
504,l. a. chipana,2
505,polenta g.,2
506,provasi p.f.,2
507,puddu r.,2
508,lopez d.a.,2
509,a. tiutiunnyk,2
510,gaspard m.,2
511,bachega j.f.r.,2
512,caglioti c.,2
513,rodríguez-lara b.m.,2
514,amico g.,2
515,pirani f.,2
516,figueiredo k.,2
517,auguste d.,2
518,aumont j.,2
519,ruiz a.,2
520,banfi s.,2
521,martí l.,2
522,de souza g.l.c.,2
523,bunn e.,2
524,bennett d.,2
525,brown a.,2
526,j. velasco-medina,2
527,munuera c.,2
528,aerts d.,2
529,ruffinelli d.,2
530,baran b.,2
531,bersanelli m.,2
532,bigot-sazy m.-a.,2
533,bonaparte j.,2
534,pereira l.,2
535,ade p.,2
536,zannoni m.,2
537,voisin f.,2
538,geffert v.,2
539,de petris m.,2
540,grandsire l.,2
541,napolitano h.b.,2
542,hamilton j.-c.,2
543,de la lande a.,2
544,marnieros s.,2
545,masi s.,2
546,sozzo s.,2
547,d. vasileska,2
548,mennella a.,2
549,schirru r.,2
550,paiva t.b.,2
551,supka a.r.,2
552,beltran l.,2
553,ballinas e.,2
554,cerasoli f.t.,2
555,duzzioni e.i.,2
556,tartari a.,2
557,león-montiel r.j.,2
558,torchinsky s.a.,2
559,furtado c.,2
560,bonis j.,2
561,burke d.,2
562,de leo m.,2
563,buzi d.,2
564,flores-moreno r.,2
565,p. rech,2
566,ramos a.c.,2
567,santos c.b.r.,2
568,dumoulin l.,2
569,etchegoyen a.,2
570,fasciszewski a.,2
571,song h.,2
572,g. puentes,2
573,freixas v.m.,2
574,franceschet c.,2
575,gamboa lerena m.m.,2
576,fanchini f.f.,2
577,aguiar a.,2
578,orenha r.p.,2
579,d. laroze,2
580,raposo s.,2
581,schmalfuss m.,2
582,a. morales,2
583,li y.,2
584,pereira d.h.,2
585,zhang y.,2
586,neto f.m.d.p.,2
